NCM;CNAE
3038920;10201
3049500;10201
3061990;10201
3062500;3116
8011110;10317
11022000;10643
12119010;1211
12129300;2209
15050090;13120
22019000;36006
25292100;8916
28092011;20193
28271000;20193
29096019;20941
29161430;20223
29309089;20291
29362410;21106
29399911;21106
29399990;21106
30039023;21211
30039058;21220
30042019;21211
30049042;21211
30059020;32507
32041520;20291
33069000;20631
38130010;20991
39073019;20321
44079960;16102
2012010;10112
3019911;3213
3019992;3116
3025900;3116
3083000;3124
8105000;1334
11061000;10694
12073090;1164
15121911;10422
15149100;10414
17049090;10937
21023000;10996
27141000;6000
28274912;20193
29071940;20291
29173600;20223
29212920;20291
29329400;20291
30049028;21211
30049078;21211
32065019;20193
35051000;10651
39076000;20312
39123119;20291
40029100;20339
41033000;10121
3019912;3213
3033900;10201
3046300;10201
3047100;10201
4069090;10520
5119999;1598
10021000;1415
14049090;2101
21039029;10953
22072011;19314
27079990;20291
29037721;20291
29051996;20291
29183032;20291
29242994;20291
29263012;20291
29269025;20291
29321990;20291
29343090;21106
29391169;21106
29413031;21106
29419036;21106
30033993;21220
30039075;21220
30042051;21211
30044020;21220
30049063;21220
30051090;21238
32042090;20291
44079100;16102
44079400;16102
3023300;3221
3028990;3221
7095100;1211
8039000;1334
16055500;10961
19041000;10643
25253000;8991
29021100;20291
29163920;20291
29241994;20291
29303012;20291
29309038;20291
29319044;20291
29321320;20291
29331120;21106
29337990;20291
29391121;21106
29399111;21106
30039047;21220
30049073;21211
34039190;20932
38089292;20517
38089325;20517
38151220;20941
38247420;20991
38249083;20991
38256100;20991
39023000;20312
39045010;20312
39119026;20321
44012200;16102
44201000;16293
2031200;10121
3031200;10201
3038933;10201
9092100;10953
13023100;10996
14019000;1121
16055600;10201
28012090;20193
28020000;20193
28416910;20193
28521012;20193
29037911;20291
29161921;20291
29211921;20291
29215911;20291
29225099;20291
29331919;21106
29332912;21106
29333932;20291
29335912;21106
29350024;21106
29391123;21106
30033929;21211
30039092;21211
32064290;20193
34049019;20622
38247600;20991
39172100;22234
39173290;22234
43021990;14142
47010000;17109
1023190;1521
2041000;10112
3035100;10201
3038111;10201
4079000;1555
9030010;1393
11051000;10325
11081200;10651
12092100;1415
27073000;20291
29049011;20291
29189100;20291
29223130;20291
29241921;20291
29241999;20291
29302019;20291
29309093;20291
29319035;20291
29339183;20291
29349923;20291
29350012;21106
29391161;21106
29420000;20291
30029099;21106
30034050;21220
30042011;21211
30042031;21220
30063015;21238
30063016;21238
31059019;20134
38030000;20291
38059010;20291
39207310;22218
40119300;22111
40161090;22196
40169590;22196
44079200;16102
46012900;16293
2032200;10121
3027400;3221
3078100;3116
23062000;10414
24013000;12204
25210000;23991
29041052;20291
29049019;20291
29189991;20291
29221952;20291
29414011;21106
30043919;21211
31022910;20126
